Altium Designer Pick and Place Locations
D:\Astapenko\PWM\Led Digit\LED PD GTL WH 3000148 (4F00222L_7P00492A)\LED PD GTL WH 3000148 (4F00222L_7P00492A)\Project Outputs for LED PD GTL WH 3000148 (4F00222L_7P00492A)\Pick Place for LED PD GTL WH 3000148 (4F00222L_7P00492A).csv

========================================================================================================================
File Design Information:

Date:       12.05.22
Time:       10:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator,""Footprint"",""Center-X(mm)"",""Center-Y(mm)"",""Ref-X(mm)"",""Ref-Y(mm)"",""Layer"",""Rotation"",""Comment"""
"D1,""T66G"",""91.5017"",""110.4991"",""91.5017"",""110.4991"",""TopLayer"",""360"",""LT_T66G"""
"D2,""T66G_4"",""87.0017"",""118.4991"",""87.0017"",""118.4991"",""TopLayer"",""360"",""LT_T66G"""
"D3,""T66G_4"",""80.0017"",""124.9991"",""80.0017"",""124.9991"",""TopLayer"",""360"",""LT_T66G"""
"D4,""T66G_4"",""71.5017"",""128.9991"",""71.5017"",""128.9991"",""TopLayer"",""90"",""LT_T66G"""
"D5,""T66G_4"",""62.0017"",""129.9991"",""62.0017"",""129.9991"",""TopLayer"",""90"",""LT_T66G"""
"D6,""T66G_4"",""52.5017"",""129.4991"",""52.5017"",""129.4991"",""TopLayer"",""90"",""LT_T66G"""
"D7,""T66G"",""43.0017"",""127.4991"",""43.0017"",""127.4991"",""TopLayer"",""90"",""LT_T66G"""
"D8,""T66G"",""35.0017"",""122.9991"",""35.0017"",""122.9991"",""TopLayer"",""90"",""LT_T66G"""
"D9,""T66G"",""28.0017"",""116.4991"",""28.0017"",""116.4991"",""TopLayer"",""90"",""LT_T66G"""
"D10,""T66G"",""23.0017"",""108.4991"",""23.0017"",""108.4991"",""TopLayer"",""90"",""LT_T66G"""
"D11,""T66G"",""20.0017"",""99.4991"",""20.0017"",""99.4991"",""TopLayer"",""180"",""LT_T66G"""
"D12,""T66G"",""18.5017"",""89.9991"",""18.5017"",""89.9991"",""TopLayer"",""180"",""LT_T66G"""
"D13,""T66G"",""18.0017"",""80.4991"",""18.0017"",""80.4991"",""TopLayer"",""180"",""LT_T66G"""
"D14,""T66G"",""19.5017"",""70.9991"",""19.5017"",""70.9991"",""TopLayer"",""180"",""LT_T66G"""
"D15,""T66G"",""22.5017"",""62.4991"",""22.5017"",""62.4991"",""TopLayer"",""180"",""LT_T66G"""
"D16,""T66G"",""27.5017"",""54.9991"",""27.5017"",""54.9991"",""TopLayer"",""180"",""LT_T66G"""
"D17,""T66G_4"",""34.5017"",""48.9991"",""34.5017"",""48.9991"",""TopLayer"",""180"",""LT_T66G"""
"D18,""T66G"",""42.0017"",""44.9991"",""42.0017"",""44.9991"",""TopLayer"",""270"",""LT_T66G"""
"D19,""T66G"",""50.5017"",""42.9991"",""50.5017"",""42.9991"",""TopLayer"",""270"",""LT_T66G"""
"D20,""T66G"",""59.5017"",""41.9991"",""59.5017"",""41.9991"",""TopLayer"",""270"",""LT_T66G"""
"D21,""T66G"",""68.5017"",""42.9991"",""68.5017"",""42.9991"",""TopLayer"",""270"",""LT_T66G"""
"D22,""T66G"",""77.0017"",""45.4991"",""77.0017"",""45.4991"",""TopLayer"",""270"",""LT_T66G"""
"D23,""T66G"",""85.5017"",""49.4991"",""85.5017"",""49.4991"",""TopLayer"",""270"",""LT_T66G"""
"D24,""T66G_4"",""93.5017"",""54.4991"",""93.5017"",""54.4991"",""TopLayer"",""270"",""LT_T66G"""
"D25,""T66G"",""94.0017"",""63.4991"",""94.0017"",""63.4991"",""TopLayer"",""360"",""LT_T66G"""
"D26,""T66G"",""94.0017"",""72.9991"",""94.0017"",""72.9991"",""TopLayer"",""360"",""LT_T66G"""
"D27,""T66G_4"",""94.0017"",""81.9991"",""94.0017"",""81.9991"",""TopLayer"",""270"",""LT_T66G"""
"D28,""T66G"",""84.0017"",""81.9991"",""84.0017"",""81.9991"",""TopLayer"",""90"",""LT_T66G"""
"D29,""T66G"",""74.5017"",""81.9991"",""74.5017"",""81.9991"",""TopLayer"",""90"",""LT_T66G"""
"D30,""T66G"",""65.0017"",""81.9991"",""65.0017"",""81.9991"",""TopLayer"",""90"",""LT_T66G"""
"D31,""T66G"",""110.0017"",""128.9992"",""110.0017"",""128.9992"",""TopLayer"",""90"",""LT_T66G"""
"D32,""T66G"",""118.5017"",""128.9992"",""118.5017"",""128.9992"",""TopLayer"",""90"",""LT_T66G"""
"D33,""T66G"",""127.0017"",""128.9992"",""127.0017"",""128.9992"",""TopLayer"",""90"",""LT_T66G"""
"D34,""T66G"",""135.5017"",""128.9992"",""135.5017"",""128.9992"",""TopLayer"",""90"",""LT_T66G"""
"D35,""T66G"",""144.0017"",""128.9992"",""144.0017"",""128.9992"",""TopLayer"",""90"",""LT_T66G"""
"D36,""T66G"",""152.5017"",""128.9992"",""152.5017"",""128.9992"",""TopLayer"",""90"",""LT_T66G"""
"D37,""T66G"",""161.0017"",""128.9992"",""161.0017"",""128.9992"",""TopLayer"",""90"",""LT_T66G"""
"D38,""T66G"",""169.5017"",""128.9992"",""169.5017"",""128.9992"",""TopLayer"",""90"",""LT_T66G"""
"D39,""T66G"",""178.0017"",""128.9992"",""178.0017"",""128.9992"",""TopLayer"",""90"",""LT_T66G"""
"D40,""T66G"",""144.0017"",""119.4991"",""144.0017"",""119.4991"",""TopLayer"",""360"",""LT_T66G"""
"D41,""T66G"",""144.0017"",""109.9992"",""144.0017"",""109.9992"",""TopLayer"",""360"",""LT_T66G"""
"D42,""T66G"",""144.0017"",""100.4991"",""144.0017"",""100.4991"",""TopLayer"",""360"",""LT_T66G"""
"D43,""T66G"",""144.0017"",""90.9990"",""144.0017"",""90.9990"",""TopLayer"",""360"",""LT_T66G"""
"D44,""T66G"",""144.0017"",""81.4992"",""144.0017"",""81.4992"",""TopLayer"",""360"",""LT_T66G"""
"D45,""T66G"",""144.0017"",""71.9990"",""144.0017"",""71.9990"",""TopLayer"",""360"",""LT_T66G"""
"D46,""T66G"",""144.0017"",""62.4992"",""144.0017"",""62.4992"",""TopLayer"",""360"",""LT_T66G"""
"D47,""T66G"",""144.0017"",""52.9991"",""144.0017"",""52.9991"",""TopLayer"",""360"",""LT_T66G"""
"D48,""T66G"",""144.0017"",""43.4992"",""144.0017"",""43.4992"",""TopLayer"",""360"",""LT_T66G"""
"D49,""T66G"",""203.0017"",""128.9992"",""203.0017"",""128.9992"",""TopLayer"",""180"",""LT_T66G"""
